N° Police,Nom,Prénom,Sexe,Âge,Catégorie Prof.,Salaire Annuel (€),Ville,Code Postal,Type Contrat,Statut Contrat,Date Souscription,Date Échéance,Ancienneté (mois),Prime Annuelle (€),Franchise (€),Nb Garanties,Type Véhicule,Usage Véhicule,Puissance Fiscale (CV),Valeur Véhicule (€),Coeff. Bonus-Malus,Nb Sinistres (3 ans),Montant Sinistres (€),Dernier Sinistre,Score Risque (0-100),Résiliation
POL-2026-00132,Kamga,Manon,F,55,Employé,35100,Lille,59002,Bronze,Résilié,14/03/2020,14/03/2027,77,554,600,3,Berline,Trajet travail,7,21100,0.83,1,788,6-12 mois,25,1
POL-2026-00133,Robert,Céline,F,58,Indépendant,42200,Bordeaux,33004,Silver,Actif,14/06/2017,14/06/2027,110,730,500,4,Citadine,Privé,4,11300,1.05,2,1015,1-2 ans,62,0
POL-2026-00134,Diallo,Yann,H,57,Indépendant,47800,Nantes,44013,Silver,Actif,07/10/2014,07/10/2026,142,686,600,5,Citadine,Trajet travail,6,16000,0.92,1,878,1-2 ans,28,0
POL-2026-00135,Fournier,Chloé,F,50,Employé,34800,Nice,6006,Bronze,Actif,29/06/2022,29/06/2027,50,395,600,2,Citadine,Trajet travail,5,6200,0.8,1,1753,6-12 mois,32,0
POL-2026-00136,Lambert,Pierre,H,50,Cadre,45400,Marseille,13015,Gold,Suspendu,16/11/2017,16/11/2026,105,1966,200,7,SUV,Trajet travail,10,45100,1.06,1,1073,2-3 ans,43,0
POL-2026-00137,Durand,Anne,F,49,Employé,18100,Nantes,44016,Silver,Actif,24/01/2018,24/01/2027,103,1491,600,5,SUV,Privé,7,40000,1.38,0,0,Aucun,62,0
POL-2026-00138,Legrand,Alexandre,H,28,Employé,35800,Lille,59015,Gold,Actif,13/06/2026,13/06/2027,2,1113,200,6,Berline,Privé,7,34100,0.96,1,2338,2-3 ans,60,0
POL-2026-00139,Leroy,Anne,F,51,Cadre,57800,Marseille,13010,Gold,Actif,09/12/2012,09/12/2026,164,1024,400,7,Berline,Trajet travail,8,21600,0.84,0,0,Aucun,24,0
POL-2026-00140,Michel,Éric,H,24,Employé,15200,Nice,6006,Gold,Résilié,30/01/2018,30/01/2027,103,2745,400,6,SUV,Trajet travail,11,42800,0.94,1,1045,1-2 ans,56,1
POL-2026-00141,Guerin,Louis,H,32,Retraité,17700,Marseille,13018,Silver,Actif,28/12/2022,28/12/2026,44,1237,500,5,SUV,Professionnel,11,17900,1.16,2,1162,1-2 ans,60,0
POL-2026-00142,Dubois,Thomas,H,59,Étudiant,11400,Toulouse,31004,Bronze,Actif,03/02/2017,03/02/2027,114,395,800,3,Utilitaire,Privé,5,23100,0.65,0,0,Aucun,5,0
POL-2026-00143,Girard,Élodie,F,53,Retraité,22100,Paris,75009,Silver,Actif,18/06/2016,18/06/2027,122,752,500,4,Berline,Professionnel,7,16800,0.75,2,3904,< 6 mois,43,0
POL-2026-00144,Martinez,Fatou,F,61,Employé,27800,Paris,75009,Bronze,Actif,24/12/2012,24/12/2026,164,305,800,3,SUV,Privé,7,16800,0.5,1,416,2-3 ans,5,0
POL-2026-00145,Petit,Thomas,H,38,Employé,36300,Nantes,44014,Silver,Actif,28/01/2026,28/01/2027,7,520,500,5,Berline,Privé,9,14800,0.6,0,0,Aucun,0,0
POL-2026-00146,Garcia,David,H,27,Employé,19700,Marseille,13010,Bronze,Actif,23/05/2020,23/05/2027,75,529,800,2,Berline,Privé,6,22000,0.78,0,0,Aucun,23,0
POL-2026-00147,Bertrand,Éric,H,39,Employé,22900,Marseille,13015,Silver,Résilié,01/12/2023,01/12/2026,33,685,600,5,Utilitaire,Trajet travail,8,13500,0.84,1,1134,6-12 mois,39,1
POL-2026-00148,Faure,Yann,H,43,Étudiant,9600,Paris,75018,Bronze,Résilié,26/01/2018,26/01/2027,103,875,1000,3,Berline,Privé,6,25100,1.23,0,0,Aucun,69,1
POL-2026-00149,Fotso,Karim,H,43,Cadre,57200,Marseille,13007,Bronze,Actif,24/02/2019,24/02/2027,90,517,1000,2,Berline,Privé,6,11700,0.96,1,2358,< 6 mois,39,0
POL-2026-00150,Nguyen,Louis,H,57,Employé,33400,Nantes,44017,Bronze,Actif,29/06/2019,29/06/2027,86,286,600,3,Citadine,Trajet travail,6,5700,0.59,0,0,Aucun,0,0
POL-2026-00151,Moreau,Claire,F,37,Retraité,26100,Nantes,44003,Silver,Actif,05/12/2011,05/12/2026,176,673,400,5,Berline,Trajet travail,7,35600,0.7,1,379,6-12 mois,12,0
POL-2026-00152,Martin,Aïcha,F,47,Cadre,56100,Paris,75018,Gold,Actif,10/08/2018,10/08/2026,96,1235,400,7,Berline,Privé,7,30200,1.13,0,0,Aucun,41,0
POL-2026-00153,Dubois,Antoine,H,29,Employé,29500,Toulouse,31003,Bronze,Suspendu,05/06/2020,05/06/2027,74,817,800,2,SUV,Privé,10,20800,1.13,0,0,Aucun,57,0
POL-2026-00154,Martinez,Élodie,F,48,Employé,27500,Marseille,13017,Gold,Actif,26/07/2025,26/07/2027,13,1123,300,7,Berline,Trajet travail,7,22000,0.83,1,418,1-2 ans,14,0
POL-2026-00155,Durand,Thomas,H,42,Ouvrier,24600,Bordeaux,33007,Gold,Actif,23/04/2022,23/04/2027,52,818,200,7,Citadine,Privé,6,17100,0.75,0,0,Aucun,16,0
POL-2026-00156,Laurent,Léa,F,32,Retraité,21600,Marseille,13019,Bronze,Actif,25/03/2013,25/03/2027,161,724,600,3,Utilitaire,Privé,6,20800,1.12,0,0,Aucun,59,0
POL-2026-00157,Nguyen,Michel,H,39,Employé,29200,Marseille,13002,Silver,Actif,16/11/2019,16/11/2026,81,418,400,4,Citadine,Trajet travail,4,12600,0.63,0,0,Aucun,9,0
POL-2026-00158,Mbarga,Amina,F,40,Étudiant,10500,Marseille,13009,Silver,Actif,27/01/2013,27/01/2027,163,815,500,4,Utilitaire,Privé,6,26400,0.94,1,1512,1-2 ans,47,0
POL-2026-00159,Nguyen,Claire,F,38,Retraité,24500,Toulouse,31018,Bronze,Actif,26/08/2018,26/08/2026,96,712,800,3,Citadine,Trajet travail,4,9300,1.36,0,0,Aucun,56,0
POL-2026-00160,Lefebvre,Émilie,F,65,Retraité,25000,Toulouse,31000,Silver,Actif,05/05/2018,05/05/2027,99,822,500,5,Berline,Privé,7,22200,0.81,0,0,Aucun,11,0
POL-2026-00161,Legrand,Laurent,H,41,Employé,23200,Marseille,13005,Bronze,Résilié,23/03/2020,23/03/2027,77,509,600,3,Berline,Privé,8,21900,0.68,0,0,Aucun,25,1
POL-2026-00162,Legrand,Sarah,F,39,Employé,28300,Nantes,44001,Gold,Actif,10/04/2018,10/04/2027,100,1238,200,8,SUV,Privé,7,27300,0.94,0,0,Aucun,35,0
POL-2026-00163,Leroy,Hugo,H,18,Retraité,19400,Lille,59006,Platine,Résilié,26/08/2025,26/08/2026,12,1583,150,11,Citadine,Privé,4,10500,0.82,2,2889,6-12 mois,56,1
POL-2026-00164,Bonnet,Éric,H,30,Cadre,51600,Lyon,69007,Gold,Actif,05/09/2025,05/09/2026,11,656,300,6,Utilitaire,Privé,7,18500,0.58,0,0,Aucun,0,0
POL-2026-00165,Lambert,Aïcha,F,39,Ouvrier,35500,Nantes,44012,Silver,Actif,12/06/2019,12/06/2027,86,830,400,5,Berline,Privé,7,22300,1.01,0,0,Aucun,41,0
POL-2026-00166,Fournier,Michel,H,33,Indépendant,32300,Nantes,44005,Silver,Résilié,08/08/2017,08/08/2026,108,953,500,5,Berline,Professionnel,6,15200,1.12,0,0,Aucun,46,1
POL-2026-00167,Henry,Marie,F,60,Employé,33400,Paris,75003,Platine,Actif,18/05/2018,18/05/2027,99,1222,100,8,Berline,Trajet travail,8,29100,0.71,0,0,Aucun,25,0
POL-2026-00168,Rousseau,Claire,F,40,Retraité,27200,Toulouse,31003,Bronze,Actif,07/03/2020,07/03/2027,77,402,800,2,Citadine,Privé,6,8500,0.77,0,0,Aucun,43,0
POL-2026-00169,Lambert,Ibrahim,H,59,Étudiant,10000,Lyon,69018,Bronze,Actif,22/03/2022,22/03/2027,53,345,600,2,Berline,Trajet travail,6,20400,0.58,0,0,Aucun,10,0
POL-2026-00170,Guerin,Élodie,F,43,Indépendant,58100,Lille,59019,Silver,Actif,19/01/2016,19/01/2027,127,478,600,4,Citadine,Trajet travail,4,10800,0.81,1,3762,2-3 ans,25,0
POL-2026-00171,Henry,Olivier,H,42,Cadre,48200,Paris,75004,Bronze,Suspendu,31/07/2017,31/07/2027,109,385,600,3,Citadine,Trajet travail,5,13600,0.72,1,1568,6-12 mois,3,0
POL-2026-00172,François,Olivier,H,41,Retraité,23700,Bordeaux,33003,Bronze,Suspendu,27/11/2025,27/11/2026,9,393,1000,3,SUV,Privé,10,14300,0.62,0,0,Aucun,0,0
POL-2026-00173,Lefebvre,Alexandre,H,42,Ouvrier,20000,Lyon,69001,Bronze,Actif,10/11/2019,10/11/2026,81,779,800,2,Berline,Privé,6,30000,1.26,1,2009,6-12 mois,82,0
POL-2026-00174,Henry,Isabelle,F,64,Indépendant,39600,Toulouse,31019,Silver,Actif,23/12/2015,23/12/2026,128,601,500,5,Citadine,Privé,6,9500,0.87,0,0,Aucun,19,0
POL-2026-00175,Guerin,Jean,H,18,Retraité,20800,Nice,6014,Bronze,Actif,29/11/2014,29/11/2026,141,842,800,3,Citadine,Privé,4,18400,1.05,1,5137,1-2 ans,59,0
POL-2026-00176,Ndiaye,Thomas,H,18,Indépendant,40900,Marseille,13015,Bronze,Actif,23/04/2022,23/04/2027,52,785,800,2,Citadine,Privé,4,10200,1.12,1,1426,2-3 ans,76,0
POL-2026-00177,Durand,Thomas,H,35,Employé,29300,Nantes,44005,Bronze,Actif,23/10/2012,23/10/2026,166,760,800,3,Citadine,Professionnel,6,11800,1.04,1,968,2-3 ans,66,0
POL-2026-00178,Morel,Isabelle,F,42,Employé,36000,Nice,6012,Silver,Actif,11/11/2016,11/11/2026,117,838,500,5,Berline,Professionnel,6,43000,0.75,0,0,Aucun,22,0
POL-2026-00179,Traoré,Camille,F,51,Employé,29000,Nantes,44001,Gold,Actif,30/01/2020,30/01/2027,79,654,200,8,Citadine,Privé,4,10900,0.87,0,0,Aucun,26,0
POL-2026-00180,Dupont,Marie,F,48,Cadre,50300,Paris,75013,Bronze,Suspendu,01/04/2017,01/04/2027,113,545,800,3,Utilitaire,Trajet travail,8,27800,0.76,1,2091,2-3 ans,27,0
POL-2026-00181,Kouassi,Chloé,F,37,Cadre,82200,Nantes,44011,Silver,Actif,12/07/2013,12/07/2027,157,688,400,4,Citadine,Privé,5,12200,0.96,1,695,< 6 mois,37,0
POL-2026-00182,Martin,Élodie,F,55,Ouvrier,27900,Paris,75006,Gold,Actif,29/03/2023,29/03/2027,41,881,200,8,Citadine,Trajet travail,5,13900,0.88,0,0,Aucun,27,0
POL-2026-00183,Bernard,Karim,H,55,Cadre,47700,Marseille,13014,Bronze,Résilié,21/05/2024,21/05/2027,27,425,1000,2,Utilitaire,Trajet travail,7,18400,0.72,0,0,Aucun,22,1
POL-2026-00184,Nicolas,Antoine,H,44,Retraité,19100,Nantes,44012,Gold,Actif,13/01/2020,13/01/2027,79,500,200,8,Citadine,Privé,5,16100,0.54,0,0,Aucun,3,0
POL-2026-00185,Roux,Laura,F,55,Étudiant,7800,Bordeaux,33008,Silver,Actif,17/04/2025,17/04/2027,16,707,500,5,Berline,Trajet travail,8,17300,0.83,1,3362,< 6 mois,53,0
POL-2026-00186,Dupont,Émilie,F,46,Employé,34600,Toulouse,31003,Silver,Actif,26/02/2014,26/02/2027,150,1034,400,4,Sportive,Professionnel,10,31900,0.79,1,239,6-12 mois,38,0
POL-2026-00187,Morel,Michel,H,35,Indépendant,34000,Marseille,13000,Bronze,Actif,10/02/2012,10/02/2027,174,551,800,2,Sportive,Trajet travail,15,36000,0.5,0,0,Aucun,4,0
POL-2026-00188,Fournier,Laurent,H,51,Indépendant,41200,Nantes,44018,Bronze,Actif,31/07/2017,31/07/2027,109,674,800,2,SUV,Trajet travail,8,31100,0.93,0,0,Aucun,24,0
POL-2026-00189,Kouassi,Léa,F,43,Ouvrier,24000,Lille,59005,Platine,Actif,26/12/2011,26/12/2026,176,1466,0,9,Citadine,Trajet travail,6,11100,1.05,2,2999,1-2 ans,61,0
POL-2026-00190,Robert,Jean,H,42,Employé,32800,Marseille,13006,Gold,Actif,29/07/2025,29/07/2027,13,2175,400,7,Berline,Privé,8,28200,1.4,1,2116,6-12 mois,78,0
POL-2026-00191,Roussel,Laura,F,61,Retraité,20200,Nantes,44013,Platine,Actif,15/02/2017,15/02/2027,114,2092,0,8,Sportive,Privé,11,71000,0.69,0,0,Aucun,16,0
POL-2026-00192,Diallo,Julien,H,18,Sans emploi,5000,Paris,75005,Gold,Résilié,13/12/2019,13/12/2026,80,2300,300,6,Sportive,Trajet travail,18,32000,0.8,1,1668,6-12 mois,49,1
POL-2026-00193,Faure,Paul,H,24,Indépendant,36800,Paris,75007,Bronze,Actif,13/06/2022,13/06/2027,50,505,800,2,Citadine,Privé,4,9300,0.66,3,8924,2-3 ans,49,0
POL-2026-00194,Vincent,Anne,F,27,Étudiant,9600,Bordeaux,33014,Gold,Actif,29/12/2021,29/12/2026,56,1034,300,8,Berline,Trajet travail,7,13300,0.94,0,0,Aucun,55,0
POL-2026-00195,Durand,Éric,H,37,Sans emploi,7400,Nice,6011,Silver,Actif,22/06/2018,22/06/2027,98,796,500,4,Citadine,Privé,6,24400,0.9,1,5479,1-2 ans,50,0
POL-2026-00196,Rousseau,Olivier,H,39,Cadre,42500,Paris,75013,Gold,Actif,28/01/2017,28/01/2027,115,682,300,6,Citadine,Privé,6,13400,0.67,0,0,Aucun,21,0
POL-2026-00197,André,Anne,F,22,Ouvrier,25400,Paris,75000,Bronze,Actif,21/02/2024,21/02/2027,30,1136,600,2,SUV,Privé,11,35500,0.87,0,0,Aucun,49,0
POL-2026-00198,Durand,Inès,F,29,Cadre,40600,Paris,75009,Bronze,Actif,26/05/2017,26/05/2027,111,293,1000,2,Citadine,Professionnel,5,7500,0.5,0,0,Aucun,17,0
POL-2026-00199,Roux,Hugo,H,31,Sans emploi,5900,Nantes,44009,Gold,Suspendu,12/10/2012,12/10/2026,166,1089,200,6,Citadine,Privé,6,12000,1.08,2,632,1-2 ans,48,1
POL-2026-00200,Fotso,Olivier,H,74,Employé,26900,Paris,75012,Gold,Résilié,10/06/2026,10/06/2027,2,620,300,6,Citadine,Privé,4,14300,0.57,0,0,Aucun,18,1
POL-2026-00201,Lefebvre,Amina,F,65,Cadre,73400,Toulouse,31003,Silver,Actif,09/06/2013,09/06/2027,158,736,500,4,Berline,Privé,8,20100,0.76,1,846,2-3 ans,17,0
POL-2026-00202,Leroy,Sarah,F,37,Retraité,24700,Nice,6003,Bronze,Actif,27/07/2017,27/07/2027,109,306,800,2,Citadine,Trajet travail,4,17500,0.55,2,8862,2-3 ans,13,0
POL-2026-00203,Rousseau,Ibrahim,H,37,Employé,31300,Paris,75015,Bronze,Actif,01/07/2021,01/07/2027,62,840,600,3,Berline,Professionnel,7,49400,0.73,0,0,Aucun,28,0
POL-2026-00204,Moreau,Yann,H,27,Retraité,26600,Toulouse,31013,Platine,Actif,01/09/2015,01/09/2026,132,964,150,9,Citadine,Privé,4,8600,0.83,0,0,Aucun,34,0
POL-2026-00205,Traoré,Karim,H,18,Cadre,78500,Toulouse,31016,Silver,Actif,09/05/2017,09/05/2027,111,1947,500,5,Sportive,Professionnel,12,31500,0.92,0,0,Aucun,41,0
POL-2026-00206,Mbarga,Mamadou,H,40,Sans emploi,5000,Nantes,44005,Silver,Suspendu,04/02/2015,04/02/2027,138,699,400,5,Citadine,Privé,5,8800,0.96,0,0,Aucun,30,1
POL-2026-00207,Ndiaye,Éric,H,29,Retraité,17200,Lyon,69019,Silver,Actif,27/05/2025,27/05/2027,15,1512,400,5,Berline,Trajet travail,9,38600,1.2,0,0,Aucun,59,0
POL-2026-00208,Kamga,Anne,F,41,Cadre,45200,Marseille,13005,Silver,Suspendu,07/09/2025,07/09/2026,11,721,500,5,Citadine,Privé,5,17300,1.01,0,0,Aucun,41,1
POL-2026-00209,Laurent,Julien,H,21,Retraité,15800,Paris,75013,Silver,Actif,18/01/2017,18/01/2027,115,1145,500,5,Citadine,Trajet travail,5,11400,1.13,0,0,Aucun,68,0
POL-2026-00210,Simon,Ibrahim,H,32,Cadre,37600,Lille,59003,Silver,Actif,27/01/2022,27/01/2027,55,993,500,4,Citadine,Trajet travail,5,12200,1.19,0,0,Aucun,84,0
POL-2026-00211,Bertrand,Chloé,F,44,Ouvrier,22900,Lille,59018,Gold,Actif,24/01/2023,24/01/2027,43,876,400,8,Citadine,Trajet travail,5,9000,0.96,1,237,2-3 ans,49,0
POL-2026-00212,André,Céline,F,47,Ouvrier,18400,Paris,75006,Gold,Actif,24/04/2020,24/04/2027,76,905,400,6,Citadine,Privé,4,16400,0.82,1,1251,2-3 ans,27,0
POL-2026-00213,Diallo,David,H,47,Retraité,24400,Marseille,13016,Platine,Actif,11/10/2015,11/10/2026,130,1797,150,8,Berline,Trajet travail,8,19300,1.05,0,0,Aucun,32,0
POL-2026-00214,Muller,Amina,F,25,Employé,26200,Nantes,44006,Silver,Actif,26/11/2023,26/11/2026,33,1500,600,5,SUV,Professionnel,10,27400,1.14,0,0,Aucun,56,0
POL-2026-00215,Garnier,Sophie,F,53,Employé,32800,Paris,75015,Silver,Actif,27/01/2012,27/01/2027,175,655,600,5,Citadine,Trajet travail,4,14800,0.95,1,2890,< 6 mois,33,0
POL-2026-00216,Diallo,Nathalie,F,32,Indépendant,40700,Lyon,69009,Gold,Actif,11/04/2020,11/04/2027,76,714,400,6,Berline,Trajet travail,8,20600,0.56,0,0,Aucun,7,0
POL-2026-00217,Faure,Éric,H,50,Ouvrier,28400,Toulouse,31001,Gold,Actif,24/05/2024,24/05/2027,27,824,300,7,Berline,Trajet travail,8,20300,0.63,0,0,Aucun,14,0
POL-2026-00218,Vincent,Samuel,H,42,Cadre,48200,Lyon,69003,Silver,Actif,25/07/2025,25/07/2027,13,507,500,5,Citadine,Privé,5,12000,0.78,1,3446,1-2 ans,28,0
POL-2026-00219,Fournier,Fatou,F,24,Employé,38800,Lyon,69013,Silver,Actif,10/10/2013,10/10/2026,154,1847,500,4,Berline,Professionnel,7,29100,1.07,2,433,6-12 mois,93,0
POL-2026-00220,Dupont,Antoine,H,38,Cadre,54200,Marseille,13003,Gold,Actif,05/11/2024,05/11/2026,21,975,200,7,Citadine,Privé,5,21400,0.85,0,0,Aucun,23,0
POL-2026-00221,Robert,Olivier,H,47,Retraité,13800,Paris,75005,Silver,Actif,17/05/2020,17/05/2027,75,817,600,5,Citadine,Trajet travail,6,14700,1.08,1,1025,6-12 mois,54,0
POL-2026-00222,Muller,Laurent,H,50,Employé,23200,Toulouse,31010,Gold,Actif,09/08/2016,09/08/2026,120,1297,300,7,Berline,Privé,6,29100,1.11,0,0,Aucun,53,0
POL-2026-00223,Faure,Inès,F,40,Cadre,32100,Lille,59005,Bronze,Actif,09/12/2018,09/12/2026,92,1249,800,3,Sportive,Privé,15,42000,1.11,0,0,Aucun,56,0
POL-2026-00224,Muller,Manon,F,62,Étudiant,10000,Toulouse,31002,Silver,Actif,16/08/2022,16/08/2026,48,1526,600,5,Sportive,Trajet travail,16,35100,1.04,0,0,Aucun,54,0
POL-2026-00225,Lambert,Antoine,H,55,Employé,29300,Paris,75012,Silver,Actif,09/12/2024,09/12/2026,20,833,600,4,Sportive,Trajet travail,13,56600,0.57,1,3076,1-2 ans,17,0
POL-2026-00226,Roussel,Inès,F,39,Indépendant,33900,Nantes,44013,Bronze,Actif,01/01/2016,01/01/2027,128,802,1000,3,Berline,Professionnel,7,23400,0.96,1,1202,6-12 mois,57,0
POL-2026-00227,Kouassi,Michel,H,52,Employé,42100,Paris,75014,Gold,Actif,01/05/2019,01/05/2027,88,705,400,6,Citadine,Professionnel,6,7300,0.68,1,2699,2-3 ans,22,0
POL-2026-00228,François,Inès,F,67,Retraité,27600,Lille,59018,Silver,Actif,07/11/2025,07/11/2026,9,323,600,5,Citadine,Privé,5,10700,0.5,0,0,Aucun,8,0
POL-2026-00229,Girard,Isabelle,F,67,Indépendant,49200,Lyon,69002,Bronze,Actif,28/11/2023,28/11/2026,33,370,600,2,Citadine,Privé,5,11700,0.7,1,1249,< 6 mois,32,0
POL-2026-00230,Richard,Julien,H,26,Retraité,16000,Lille,59008,Gold,Actif,12/03/2018,12/03/2027,101,1052,200,8,Citadine,Privé,4,10000,1.19,1,769,< 6 mois,75,0
POL-2026-00231,Roussel,Hugo,H,30,Employé,20400,Paris,75004,Gold,Suspendu,21/01/2024,21/01/2027,31,990,200,7,Citadine,Trajet travail,6,20200,0.98,0,0,Aucun,26,0
POL-2026-00232,Kamga,Samuel,H,61,Ouvrier,26700,Paris,75018,Gold,Actif,09/09/2020,09/09/2026,71,1454,400,6,Berline,Trajet travail,8,26000,1.22,2,5237,2-3 ans,67,0
POL-2026-00233,Blanc,Inès,F,28,Retraité,21500,Marseille,13010,Silver,Actif,13/09/2024,13/09/2026,23,864,600,5,Citadine,Professionnel,6,19400,0.93,0,0,Aucun,48,0
POL-2026-00234,Mbarga,Anne,F,25,Employé,14500,Paris,75001,Gold,Actif,29/09/2014,29/09/2026,143,1434,400,6,Citadine,Trajet travail,5,13200,1.44,1,580,6-12 mois,61,0
POL-2026-00235,Mbarga,Chloé,F,36,Employé,26300,Paris,75013,Silver,Actif,23/03/2017,23/03/2027,113,760,600,4,SUV,Privé,8,30900,0.9,0,0,Aucun,34,0
POL-2026-00236,Nicolas,Émilie,F,47,Employé,29100,Lille,59000,Silver,Actif,12/11/2014,12/11/2026,141,616,600,4,Berline,Trajet travail,7,15900,0.83,0,0,Aucun,32,0
POL-2026-00237,Dupont,Jean,H,41,Sans emploi,6700,Nantes,44005,Bronze,Actif,07/10/2025,07/10/2026,10,298,1000,3,Utilitaire,Trajet travail,7,18100,0.57,0,0,Aucun,2,0
POL-2026-00238,Robert,Nathalie,F,34,Indépendant,30100,Paris,75014,Silver,Actif,10/12/2020,10/12/2026,68,847,600,4,Citadine,Trajet travail,6,12100,1.11,0,0,Aucun,46,0
POL-2026-00239,Martin,Julien,H,33,Ouvrier,20300,Nantes,44010,Gold,Actif,08/08/2022,08/08/2026,48,653,200,7,Berline,Privé,6,13600,0.76,0,0,Aucun,12,0
POL-2026-00240,Moreau,Jean,H,33,Indépendant,35200,Lille,59015,Silver,Actif,05/04/2017,05/04/2027,112,524,500,5,Citadine,Privé,6,9900,0.73,1,470,6-12 mois,20,0
POL-2026-00241,Morel,Aïcha,F,31,Ouvrier,23400,Nantes,44011,Silver,Actif,06/04/2014,06/04/2027,148,1193,500,4,Berline,Privé,9,19600,1.16,2,2584,1-2 ans,63,0
POL-2026-00242,Muller,Céline,F,72,Cadre,67200,Bordeaux,33016,Gold,Actif,16/03/2023,16/03/2027,41,1056,300,6,Citadine,Privé,4,13900,1.0,0,0,Aucun,36,0
POL-2026-00243,Girard,Ibrahim,H,46,Cadre,65900,Bordeaux,33011,Silver,Résilié,20/02/2015,20/02/2027,138,647,500,4,Citadine,Trajet travail,4,14100,1.08,0,0,Aucun,39,1
POL-2026-00244,Bernard,David,H,54,Ouvrier,24100,Toulouse,31001,Bronze,Actif,18/12/2017,18/12/2026,104,469,600,2,Berline,Privé,8,17900,0.72,0,0,Aucun,14,0
POL-2026-00245,Simon,Amina,F,36,Employé,24600,Bordeaux,33001,Platine,Actif,09/04/2014,09/04/2027,148,1144,0,11,Citadine,Trajet travail,6,14100,0.85,0,0,Aucun,23,0
POL-2026-00246,Ndiaye,Inès,F,40,Retraité,24100,Nice,6015,Gold,Actif,21/05/2025,21/05/2027,15,711,200,7,Citadine,Trajet travail,5,11300,0.84,2,4226,2-3 ans,60,0
POL-2026-00247,Ndiaye,Amina,F,33,Retraité,24200,Paris,75000,Platine,Résilié,09/10/2011,09/10/2026,178,1774,0,9,Utilitaire,Professionnel,7,6600,1.05,0,0,Aucun,44,1
POL-2026-00248,Vincent,David,H,18,Cadre,41300,Lyon,69007,Platine,Actif,11/02/2020,11/02/2027,78,2892,150,10,Citadine,Privé,6,10100,1.27,1,1154,6-12 mois,85,0
POL-2026-00249,Nicolas,Thomas,H,24,Ouvrier,26300,Paris,75000,Gold,Actif,27/05/2022,27/05/2027,51,2011,300,8,Berline,Privé,7,32100,0.98,1,1200,1-2 ans,55,0
POL-2026-00250,Guerin,Ibrahim,H,18,Employé,31000,Nice,6006,Gold,Actif,06/11/2023,06/11/2026,33,1895,400,8,Berline,Privé,6,12200,1.36,2,3744,1-2 ans,95,0
POL-2026-00251,Traoré,Julie,F,18,Sans emploi,8200,Marseille,13011,Silver,Suspendu,08/11/2011,08/11/2026,177,1317,600,5,Citadine,Privé,6,12500,1.12,0,0,Aucun,45,1
POL-2026-00252,Diallo,Laura,F,26,Étudiant,11900,Bordeaux,33003,Bronze,Actif,16/05/2013,16/05/2027,159,540,1000,3,Berline,Privé,7,38300,0.85,1,2134,6-12 mois,20,0
POL-2026-00253,Garnier,Pierre,H,59,Étudiant,8100,Nantes,44009,Silver,Actif,27/08/2024,27/08/2026,24,621,400,5,Citadine,Trajet travail,5,9200,0.97,0,0,Aucun,30,0
POL-2026-00254,Vincent,Yann,H,41,Cadre,52400,Nice,6019,Gold,Résilié,26/12/2019,26/12/2026,80,1562,300,6,SUV,Privé,9,30000,1.22,0,0,Aucun,60,1
POL-2026-00255,Garnier,Olivier,H,59,Employé,30700,Paris,75001,Silver,Actif,09/08/2015,09/08/2026,132,824,400,4,Citadine,Privé,5,7600,1.23,0,0,Aucun,66,0
POL-2026-00256,David,Sophie,F,47,Employé,28400,Lille,59001,Gold,Actif,01/11/2017,01/11/2026,106,1097,200,7,Citadine,Privé,4,21200,1.09,1,3406,2-3 ans,40,0
POL-2026-00257,Bertrand,Julie,F,52,Employé,25700,Nantes,44005,Bronze,Actif,19/10/2023,19/10/2026,34,441,600,3,Citadine,Trajet travail,6,11700,0.82,0,0,Aucun,22,0
POL-2026-00258,Legrand,Laurent,H,30,Employé,17400,Paris,75016,Silver,Actif,15/03/2021,15/03/2027,65,862,400,5,Utilitaire,Professionnel,7,18300,0.84,1,405,6-12 mois,30,0
POL-2026-00259,François,Éric,H,49,Employé,29800,Lille,59008,Silver,Actif,23/02/2021,23/02/2027,66,1135,400,5,SUV,Trajet travail,8,48200,0.95,0,0,Aucun,34,0
POL-2026-00260,François,Fatou,F,51,Sans emploi,6200,Lyon,69012,Silver,Suspendu,07/04/2022,07/04/2027,52,1923,600,5,Sportive,Trajet travail,14,56700,1.18,2,3130,2-3 ans,80,1
POL-2026-00261,Vincent,Julien,H,35,Employé,27800,Bordeaux,33000,Bronze,Actif,17/04/2012,17/04/2027,172,628,800,2,SUV,Trajet travail,7,22100,0.96,1,536,6-12 mois,38,0
POL-2026-00262,Fournier,Élodie,F,49,Employé,24400,Toulouse,31014,Bronze,Actif,31/07/2023,31/07/2027,37,616,800,3,SUV,Trajet travail,8,23900,0.92,0,0,Aucun,34,0
POL-2026-00263,Martin,Antoine,H,49,Retraité,17700,Lyon,69001,Gold,Résilié,24/01/2016,24/01/2027,127,1124,300,6,Berline,Privé,9,26200,0.83,2,868,6-12 mois,52,1
POL-2026-00264,Martinez,Hugo,H,35,Ouvrier,24600,Paris,75014,Silver,Résilié,21/12/2012,21/12/2026,164,667,600,5,Utilitaire,Trajet travail,7,14500,0.79,0,0,Aucun,23,1
POL-2026-00265,François,Julie,F,27,Retraité,21300,Paris,75002,Bronze,Actif,25/09/2014,25/09/2026,143,473,600,2,Berline,Trajet travail,8,10500,0.86,0,0,Aucun,20,0
